
Microsoft (R) EXE File Header Utility  Version 3.20
Copyright (C) Microsoft Corp 1985-1993.  All rights reserved.

Library:                  KERNEL
Description:              Microsoft Windows Kernel Interface Version 3.10
Data:                     SHARED
Initialization:           Global
Initial CS:IP:            seg   1 offset ffff99cb
Initial SS:SP:            seg   0 offset 0000
DGROUP:                   seg   4
Heap allocation:          0200 bytes
Runs in protected mode only

no. type address  file  mem   flags
  1 CODE 00001620 0b6cb 0b6cb PRELOAD
  2 CODE 0000cd10 02aac 02aac PRELOAD, (movable), (discardable)
  3 CODE 0000f7e0 00c52 00c54 PRELOAD, (movable), (discardable)
  4 DATA 00010450 013e2 013e2 SHARED, PRELOAD


Exports:
ord seg offset name
342   1  97d0  __GP exported, shared data
173 254  f000  __ROMBIOS exported
 19   1  02f1  GLOBALUNLOCK exported
184   1  12ca  GLOBALDOSALLOC exported
127   1  06fd  GETPRIVATEPROFILEINT exported, shared data
166   2  028f  WINEXEC exported
122   1  79f3  ISTASKLOCKED exported
 99   1  0beb  GETLPERRMODE exported
 88   1  7b41  LSTRCPY exported
 81   1  0494  _LCLOSE exported
335   1  4423  ISBADWRITEPTR exported
171   1  00e4  ALLOCDSTOCSALIAS exported
170   1  00d0  ALLOCCSTODSALIAS exported
137   1  0211  FATALAPPEXIT exported
183 254  0000  __0000H exported
 18   1  028f  GLOBALLOCK exported
161   2  29bd  LOCALCOUNTFREE exported
193 254  0040  __0040H exported
 42   1  943b  DISABLEDOS exported
198   1  03c5  GLOBALUNFIX exported
120   1  6b6e  UNDEFDYNLINK exported
159   1  0ec1  GLOBALHANDLENORIP exported
 85   1  0469  _LOPEN exported
141   1  7859  INITTASK1 exported
164   1  034a  GLOBALLRUNEWEST exported
130   3  0888  FILECDR exported
 55   3  08ee  CATCH exported
 26   1  0e40  GLOBALFREEALL exported
128   1  072f  GETPRIVATEPROFILESTRING exported, shared data
339   1  96be  DIAGQUERY exported
 77   1  7b9f  RESERVED1 exported
 78   1  7b9c  RESERVED2 exported
101   1  1bdd  NOHOOKDOSCALL exported
 79   1  7b96  RESERVED3 exported
 83   1  04b3  _LCREAT exported
110   1  7412  PATCHCODEHANDLE exported
 80   1  7b99  RESERVED4 exported
 87   1  7b60  RESERVED5 exported
 53   1  41c7  CALLPROCINSTANCE exported
341   3  084c  TOOLHELPHOOK exported
320   1  7695  ISTASK exported
318   1  964b  FATALEXITHOOK exported
126   1  2b47  MEMORYFREED exported
165   1  9588  A20PROC exported
 51   3  00a8  MAKEPROCINSTANCE exported
107   3  0132  SETERRORMODE exported
343   2  0689  REGISTERWINOLDAPHOOK exported
204   3  014e  SWAPRECORDING exported
158   1  7683  ISWINOLDAPTASK exported
 84   1  04de  _LLSEEK exported
 33   1  79d9  LOCKCURRENTTASK exported
319   1  4b9c  FLUSHCACHEDFILEHANDLE exported
316   1  1247  GETFREEMEMINFO exported
 93   1  419a  GETCODEHANDLE exported
 52   3  00c5  FREEPROCINSTANCE exported
152   3  08e2  GETNUMTASKS exported
  7   1  0585  LOCALFREE exported
 10   1  05cf  LOCALSIZE exported
192   1  039d  GLOBALPAGEUNLOCK exported
346   1  4445  ISBADHUGEREADPTR exported
163   1  035e  GLOBALLRUOLDEST exported
 25   1  1100  GLOBALCOMPACT exported
 65   1  019f  SIZEOFRESOURCE exported
  8   1  0599  LOCALLOCK exported
121   1  8582  LOCALSHRINK exported
105   3  07d9  GETEXEVERSION exported
124   1  943c  ENABLEKERNEL exported
 13   1  8557  LOCALCOMPACT exported
  2   1  951b  EXITKERNEL exported
311   1  962b  GETSETKERNELDOSPROC exported
162   2  29f5  LOCALHEAPSIZE exported
 76   3  04b6  DELETEPATHNAME exported
  4   2  28ab  LOCALINIT exported
131   3  08ce  GETDOSENVIRONMENT exported
 30   1  750e  WAITEVENT exported
117   1  7589  OLDYIELD exported
100   2  2aab  VALIDATECODESEGMENTS exported
 36   1  7bfe  GETCURRENTTASK exported
134   3  0054  GETWINDOWSDIRECTORY exported
129   1  07bb  WRITEPRIVATEPROFILESTRING exported, shared data
328   1  8ca0  _DEBUGOUTPUT exported
177   1  010c  PRESTOCHANGOSELECTOR exported
