Service DLL | DLL taking dependency
appinfo.dll: appinfoext.dll
APPMGMTS.dll: appmgr.dll
AppxDeploymentServer.dll: AppXDeploymentExtensions.desktop.dll
AppxDeploymentServer.dll: AppXDeploymentExtensions.onecore.dll
CoreMessaging.dll: ActivationManager.dll
CoreMessaging.dll: Analog.Shell.Broker.dll
CoreMessaging.dll: CBDHSvc.dll
CoreMessaging.dll: CoreShell.dll
CoreMessaging.dll: CoreUIComponents.dll
CoreMessaging.dll: dcomp.dll
CoreMessaging.dll: DesktopView.Internal.Broker.dll
CoreMessaging.dll: DictationManager.dll
CoreMessaging.dll: dwmcore.dll
CoreMessaging.dll: dwmredir.dll
CoreMessaging.dll: edgehtml.dll
CoreMessaging.dll: EditBufferTestHook.dll
CoreMessaging.dll: ExecModelClient.dll
CoreMessaging.dll: GraphicsCapture.dll
CoreMessaging.dll: HeatCore.dll
CoreMessaging.dll: HologramCompositor.dll
CoreMessaging.dll: HologramWorld.dll
CoreMessaging.dll: HolographicExtensions.dll
CoreMessaging.dll: HoloShellRuntime.dll
CoreMessaging.dll: HoloSI.PCShell.dll
CoreMessaging.dll: Hydrogen.dll
CoreMessaging.dll: InputHost.dll
CoreMessaging.dll: InputLocaleManager.dll
CoreMessaging.dll: InputService.dll
CoreMessaging.dll: ISM.dll
CoreMessaging.dll: MixedReality.Broker.dll
CoreMessaging.dll: modernexecserver.dll
CoreMessaging.dll: msctf.dll
CoreMessaging.dll: MsSpellCheckingFacility.dll
CoreMessaging.dll: MTF.dll
CoreMessaging.dll: MTFAppServiceDS.dll
CoreMessaging.dll: MTFServer.dll
CoreMessaging.dll: navshutdown.dll
CoreMessaging.dll: SettingsHandlers_AnalogShell.dll
CoreMessaging.dll: SettingsHandlers_Language.dll
CoreMessaging.dll: SettingsHandlers_Region.dll
CoreMessaging.dll: SettingSync.dll
CoreMessaging.dll: ShareHost.dll
CoreMessaging.dll: SRH.dll
CoreMessaging.dll: StartTileData.dll
CoreMessaging.dll: TextInputFramework.dll
CoreMessaging.dll: TextInputMethodFormatter.dll
CoreMessaging.dll: tsf3gip.dll
CoreMessaging.dll: twinapi.appcore.dll
CoreMessaging.dll: twinui.pcshell.dll
