Microsoft (R) COFF/PE Dumper Version 14.30.30706.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file KERNEL32.DLL

File Type: DLL

  Section contains the following exports for KERNEL32.dll

    00000000 characteristics
    2C4857D3 time date stamp Sat Jul 17 15:49:39 1993
        0.00 version
           1 ordinal base
         543 number of functions
         543 number of names

    ordinal hint RVA      name

          1    0 00005090 AddAtomA
          2    1 00005100 AddAtomW
          3    2 00025540 AddConsoleAliasA
          4    3 00025500 AddConsoleAliasW
          5    4 00026AC0 AllocConsole
          6    5 00001000 BackupRead
          7    6 00001E90 BackupSeek
          8    7 00002100 BackupWrite
          9    8 0002520C BaseAttachCompleteThunk
         10    9 00024C50 BasepDebugDump
         11    A 00002C00 Beep
         12    B 0001E720 BeginUpdateResourceA
         13    C 0001E5F0 BeginUpdateResourceW
         14    D 000219E0 BuildCommDCBA
         15    E 00021950 BuildCommDCBAndTimeoutsA
         16    F 000218F0 BuildCommDCBAndTimeoutsW
         17   10 00021980 BuildCommDCBW
         18   11 00013310 CallNamedPipeA
         19   12 000133A0 CallNamedPipeW
         20   13 0001AFF0 ClearCommBreak
         21   14 0001B000 ClearCommError
         22   15 00027E50 CloseConsoleHandle
         23   16 0000E6A0 CloseHandle
         24   17 00007610 CloseProfileUserMapping
         25   18 0001CE70 CmdBatNotification
         26   19 00003B40 CompareFileTime
         27   1A 00028000 CompareStringW
         28   1B 00012960 ConnectNamedPipe
         29   1C 0002B740 ConsoleMenuControl
         30   1D 0002BE50 ConsoleSubst
         31   1E 00004320 ContinueDebugEvent
         32   1F 0000C280 CopyFileA
         33   20 0000C340 CopyFileW
         34   21 0002CFC0 CreateConsoleScreenBuffer
         35   22 00004630 CreateDirectoryA
         36   23 00004810 CreateDirectoryExA
         37   24 000048D0 CreateDirectoryExW
         38   25 000046A0 CreateDirectoryW
         39   26 000199F0 CreateEventA
         40   27 00019A70 CreateEventW
         41   28 0000CC40 CreateFileA
         42   29 0000B1B0 CreateFileMappingA
         43   2A 0000B240 CreateFileMappingW
         44   2B 0000CCD0 CreateFileW
         45   2C 000100E0 CreateMailslotA
         46   2D 0000FF80 CreateMailslotW
         47   2E 00019F50 CreateMutexA
         48   2F 00019FD0 CreateMutexW
         49   30 00012620 CreateNamedPipeA
         50   31 000126C0 CreateNamedPipeW
         51   32 000158A0 CreatePipe
         52   33 00015A90 CreateProcessA
         53   34 00015F30 CreateProcessW
         54   35 0001A480 CreateRemoteThread
         55   36 00019CD0 CreateSemaphoreA
         56   37 00019D50 CreateSemaphoreW
         57   38 00022B30 CreateTapePartition
         58   39 0001A450 CreateThread
         59   3A 00010470 CreateVirtualBuffer
         60   3B 00004360 DebugActiveProcess
         61   3C 00003E80 DebugBreak
         62   3D 00008EB0 DefineDosDeviceA
         63   3E 00008F80 DefineDosDeviceW
         64   3F 000050D0 DeleteAtom
         65   40 000199E0 DeleteCriticalSection
         66   41 0000B9C0 DeleteFileA
         67   42 0000BA30 DeleteFileW
         68   43 0000B050 DeviceIoControl
         69   44 000129F0 DisconnectNamedPipe
         70   45 00003AA0 DosDateTimeToFileTime
         71   46 00027EC0 DuplicateConsoleHandle
